"yr","cst","cst_n","pty_n","pv1","pvs1"
2010,1,"alabama 1","constitution party of alabama",26357,0.168651342391968
2010,1,"alabama 1","republican",129063,0.825839340686798
2010,1,"alabama 1","write-in",861,0.0055093071423471
2010,2,"alabama 2","write-in",518,0.00236499402672052
2010,2,"alabama 2","democrat",106865,0.487905651330948
2010,2,"alabama 2","republican",111645,0.509729325771332
2010,3,"alabama 3","democrat",80204,0.40478652715683
2010,3,"alabama 3","republican",117736,0.594209134578705
2010,3,"alabama 3","write-in",199,0.001004345016554
2010,4,"alabama 4","republican",167714,0.988174736499786
2010,4,"alabama 4","write-in",2007,0.0118252895772457
2010,5,"alabama 5","write-in",189,0.000834473990835249
2010,5,"alabama 5","republican",131109,0.578873217105865
2010,5,"alabama 5","democrat",95192,0.420292288064957
2010,6,"alabama 6","write-in",4076,0.0194684863090515
2010,6,"alabama 6","republican",205288,0.980531513690948
2010,7,"alabama 7","republican",51890,0.274951785802841
2010,7,"alabama 7","write-in",138,0.000731226988136768
2010,7,"alabama 7","democrat",136696,0.724317014217377
2010,8,"alaska","write-in",1345,0.00528830103576183
2010,8,"alaska","democrat",77606,0.305132985115051
2010,8,"alaska","republican",175384,0.689578711986542
2010,9,"arizona 1","democrat",99233,0.437307745218277
2010,9,"arizona 1","republican",112816,0.497166365385056
2010,9,"arizona 1","libertarian",14869,0.0655258744955063
2010,10,"arizona 2","write-in",8,2.99999992421363e-05
2010,10,"arizona 2","democrat",82891,0.310576498508453
2010,10,"arizona 2","write-in",2,7.48999991628807e-06
2010,10,"arizona 2","republican",173173,0.648845613002777
2010,10,"arizona 2","libertarian",10820,0.0405404381453991
2010,11,"arizona 3","libertarian",10478,0.050357811152935
2010,11,"arizona 3","green",3294,0.0158311352133751
2010,11,"arizona 3","democrat",85610,0.411446094512939
2010,11,"arizona 3","republican",108689,0.522364974021912
2010,12,"arizona 4","republican",25300,0.275278270244598
2010,12,"arizona 4","democrat",61524,0.669415831565857
2010,12,"arizona 4","libertarian",2718,0.0295733734965324
2010,12,"arizona 4","green",2365,0.025732534006238
2010,13,"arizona 5","republican",110374,0.520018875598907
2010,13,"arizona 5","libertarian",10127,0.0477126017212868
2010,13,"arizona 5","democrat",91749,0.432268559932709
2010,14,"arizona 6","green",3407,0.0136617170646787
2010,14,"arizona 6","democrat",72615,0.291178643703461
2010,14,"arizona 6","libertarian",7712,0.0309243202209473
2010,14,"arizona 6","republican",165649,0.664235353469849
2010,15,"arizona 7","democrat",79935,0.502280950546265
2010,15,"arizona 7","republican",70385,0.442272394895554
2010,15,"arizona 7","independent",4506,0.0283139795064926
2010,15,"arizona 7","libertarian",4318,0.027132660150528
2010,16,"arizona 8","republican",134124,0.472970396280289
2010,16,"arizona 8","democrat",138280,0.487625986337662
2010,16,"arizona 8","libertarian",11174,0.0394036211073399
2010,17,"arkansas 1","write-in",196,0.00108879199251533
2010,17,"arkansas 1","democrat",78267,0.434778034687042
2010,17,"arkansas 1","write-in",9,4.99999987368938e-05
2010,17,"arkansas 1","republican",93224,0.517865061759949
2010,17,"arkansas 1","green",8320,0.0462181158363819
2010,18,"arkansas 2","green",3599,0.0170688442885876
2010,18,"arkansas 2","write-in",40,0.00018970700330101
2010,18,"arkansas 2","democrat",80687,0.382671266794205
2010,18,"arkansas 2","independent",4421,0.0209673140197992
2010,18,"arkansas 2","republican",122091,0.579036474227905
2010,18,"arkansas 2","write-in",14,6.64000035612844e-05
2010,19,"arkansas 3","republican",148581,0.72435075044632
2010,19,"arkansas 3","democrat",56542,0.27564924955368
2010,20,"arkansas 4","democrat",102479,0.575291633605957
2010,20,"arkansas 4","green",4129,0.0231791809201241
2010,20,"arkansas 4","republican",71526,0.4015291929245
2010,21,"california 1","democrat",147307,0.627928495407104
2010,21,"california 1","libertarian",5996,0.0255592688918114
2010,21,"california 1","green",8486,0.036173440515995
2010,21,"california 1","republican",72803,0.310338795185089
2010,22,"california 2","republican",130837,0.571490347385406
2010,22,"california 2","democrat",98092,0.428461611270905
2010,22,"california 2","write-in",11,4.80000016978011e-05
2010,23,"california 3","republican",131169,0.500763535499573
2010,23,"california 3","american independent",6577,0.0251089949160814
2010,23,"california 3","democrat",113128,0.431888461112976
2010,23,"california 3","peace and freedom",4789,0.0182829517871141
2010,23,"california 3","libertarian",6275,0.0239560510963202
2010,24,"california 4","democrat",95653,0.314411193132401
2010,24,"california 4","republican",186397,0.612686514854431
2010,24,"california 4","green",22179,0.0729023218154907
2010,25,"california 5","republican",43577,0.252752155065536
2010,25,"california 5","peace and freedom",4594,0.0266457851976156
2010,25,"california 5","democrat",124220,0.720491826534271
2010,25,"california 5","write-in",19,0.000110202003270388
2010,26,"california 6","democrat",172216,0.659447371959686
2010,26,"california 6","peace and freedom",5915,0.0226496458053589
2010,26,"california 6","libertarian",5660,0.0216732025146484
2010,26,"california 6","republican",77361,0.296229779720306
2010,27,"california 7","republican",56764,0.316765159368515
2010,27,"california 7","democrat",122435,0.683234810829163
2010,28,"california 8","peace and freedom",5161,0.0246118195354939
2010,28,"california 8","democrat",167957,0.800954699516296
2010,28,"california 8","republican",31711,0.151223674416542
2010,28,"california 8","write-in",24,0.000114451002446003
2010,28,"california 8","libertarian",4843,0.0230953376740217
2010,29,"california 9","republican",23054,0.107686199247837
2010,29,"california 9","democrat",180400,0.842655956745148
2010,29,"california 9","green",4848,0.0226452108472586
2010,29,"california 9","peace and freedom",1670,0.00780064007267356
2010,29,"california 9","libertarian",4113,0.019211994484067
2010,30,"california 10","republican",88512,0.378570258617401
2010,30,"california 10","green",7716,0.0330017171800137
2010,30,"california 10","democrat",137578,0.588428020477295
2010,31,"california 11","democrat",115361,0.479665547609329
2010,31,"california 11","republican",112703,0.468613684177399
2010,31,"california 11","american independent",12439,0.0517207682132721
2010,32,"california 12","democrat",152044,0.755828619003296
2010,32,"california 12","write-in",32,0.000159075992996804
2010,32,"california 12","republican",44475,0.221090465784073
2010,32,"california 12","libertarian",4611,0.0229218248277903
2010,33,"california 13","democrat",118278,0.71954882144928
2010,33,"california 13","republican",45575,0.277257293462753
2010,33,"california 13","write-in",525,0.00319385807961226
2010,34,"california 14","democrat",151217,0.690901875495911
2010,34,"california 14","republican",60917,0.2783263027668
2010,34,"california 14","libertarian",6735,0.0307718329131603
2010,35,"california 15","republican",60468,0.324025392532349
2010,35,"california 15","democrat",126147,0.675974607467651
2010,36,"california 16","democrat",105841,0.678215801715851
2010,36,"california 16","republican",37913,0.242941722273827
2010,36,"california 16","libertarian",12304,0.0788424834609032
2010,37,"california 17","libertarian",2742,0.015392473898828
2010,37,"california 17","republican",53176,0.29850846529007
2010,37,"california 17","democrat",118734,0.666524469852448
2010,37,"california 17","green",3397,0.0190693773329258
2010,37,"california 17","write-in",90,0.000505222997162491
2010,38,"california 18","republican",51716,0.415159463882446
2010,38,"california 18","democrat",72853,0.584840536117554
